frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
1,222.5,,,,,,,,,,127,461,466,,,,,,
2,255.8,,,,,,,,,,76,667,60,,,,,,
4,282.8,29,525,659,,,,,,,,,,,,,,,
9,344.0,24,517,659,,,,,,,,,,,,,,,
10,344.0,20,512,661,,,,,,,,,,,,,,,
11,380.5,14,507,656,,,,,,,,,,,,,,,
12,411.3,18,510,660,,,,,,,,,,,,,,,
13,411.3,16,511,659,,,,,,,,,,,,,,,
14,447.9,18,511,658,,,,,,,,,,,,,,,
15,481.9,17,509,661,,,,,,,,,,,,,,,
16,511.4,20,513,658,,,,,,,,,,,,,,,
17,547.6,19,514,657,,,,,,,,,,,,,,,
18,581.4,20,515,657,,,,,,,,,,,,,,,
19,617.9,18,512,656,,,,,,,,,,,,,,,
20,654.0,19,513,656,,,,,,,,,,,,,,,
21,681.4,20,515,657,,,,,,,,,,,,,,,
22,711.5,21,517,654,,,,,,,,,,,,,,,
23,747.4,21,516,657,,,,,,,,,,,,,,,
24,782.5,21,516,655,,,,,,,,,,,,,,,
25,811.8,20,515,654,,,,,,,,,,,,,,,
26,847.3,19,515,656,,,,,,,,,,,,,,,
27,879.1,21,516,655,,,,,,,,,,,,,,,
28,911.3,21,518,659,,,,,,,,,,,,,,,
29,947.3,31,524,658,,,,,,,,,,,,,,,
30,979.3,29,527,660,,,,,,,,,,,,,,,
31,1011.3,29,527,660,,,,,,,,,,,,,,,
32,1047.3,29,526,660,,,,,,,,,,,,,,,
33,1079.1,29,527,660,,,,,,,,,,,,,,,
34,1111.3,29,527,661,,,,,,,,,,,,,,,
35,1147.5,29,526,661,,,,,,,,,,,,,,,
36,1179.3,29,526,661,,,,,,,,,,,,,,,
37,1211.5,29,526,661,,,,,,,,,,,,,,,
38,1247.2,29,526,661,,,,,,,,,,,,,,,
39,1279.1,29,525,661,,,,,,,,,,,,,,,
40,1311.8,29,525,660,,,,,,,,,,,,,,,
41,1344.0,29,525,660,,,,,,,,,,,,,,,
42,1379.6,29,524,660,,,,,,,,,,,,,,,
43,1411.4,29,525,659,,,,,,,,,,,,,,,
44,1443.5,29,525,659,,,,,,,,,,,,,,,
45,1479.3,29,524,659,,,,,,,,,,,,,,,
46,1511.7,29,525,659,,,,,,,,,,,,,,,
47,1543.8,29,524,658,,,,,,,,,,,,,,,
48,1579.7,29,524,658,,,,,,,,,,,,,,,
49,1611.5,29,524,658,,,,,,,,,,,,,,,
50,1643.8,29,524,658,,,,,,,,,,,,,,,
51,1679.1,29,524,659,,,,,,,,,,,,,,,
52,1711.3,29,524,659,,,,,,,,,,,,,,,
53,1743.5,29,524,659,,,,,,,,,,,,,,,
54,1779.2,29,525,659,,,,,,,,,,,,,,,
55,1811.2,29,524,659,,,,,,,,,,,,,,,
56,1843.5,29,525,660,,,,,,,,,,,,,,,
57,1879.3,29,525,660,,,,,,,,,,,,,,,
58,1911.4,29,526,660,,,,,,,,,,,,,,,
59,1952.0,29,526,660,,,,,,,,,,,,,,,
60,1979.4,28,526,660,,,,,,,,,,,,,,,
61,2011.5,29,527,660,,,,,,,,,,,,,,,
