frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,124.9,,,,,,,,,,109,10,109,,,,,,
1,124.9,,,,,,,,,,97,671,443,,,,,,
2,249.0,,,,,,,,,,78,518,174,,,,,,
3,276.0,,,,,,,,,,55,26,49,,,,,,
4,297.9,,,,,,,,,,73,1083,967,,,,,,
6,321.1,26,489,321,,,,,,,,,,,,,,,
10,370.1,27,494,326,,,,,,,,,,,,,,,
11,379.8,26,495,350,,,,,,,,,,,,,,,
12,391.1,26,496,378,,,,,,,,,,,,,,,
13,416.7,26,497,409,,,,,,,,,,,,,,,
14,450.9,26,497,436,,,,,,,,,,,,,,,
15,482.8,27,498,458,,,,,,,,,,,,,,,
16,516.8,27,498,473,,,,,,,,,,,,,,,
17,551.4,27,498,478,,,,,,,,,,,,,,,
18,590.0,27,498,471,,,,,,,,,,,,,,,
19,615.1,27,497,454,,,,,,,,,,,,,,,
20,651.0,27,496,429,,,,,,,,,,,,,,,
21,684.3,27,496,400,,,,,,,,,,,,,,,
22,715.1,27,494,368,,,,,,,,,,,,,,,
23,751.5,28,493,339,,,,,,,,,,,,,,,
24,783.2,27,492,317,,,,,,,,,,,,,,,
25,815.1,27,491,303,,,,,,,,,,,,,,,
26,850.9,28,489,300,,,,,,,,,,,,,,,
27,882.9,27,488,306,,,,,,,,,,,,,,,
28,915.0,27,486,323,,,,,,,,,,,,,,,
29,951.3,27,485,347,,,,,,,,,,,,,,,
30,982.9,26,484,377,,,,,,,,,,,,,,,
31,1015.2,27,482,406,,,,,,,,,,,,,,,
32,1050.9,26,482,435,,,,,,,,,,,,,,,
33,1083.0,27,482,458,,,,,,,,,,,,,,,
34,1115.0,27,481,472,,,,,,,,,,,,,,,
35,1150.7,27,481,477,,,,,,,,,,,,,,,
36,1183.1,27,481,471,,,,,,,,,,,,,,,
37,1215.8,31,477,455,,,,,,,,,,,,,,,
38,1247.0,33,477,440,,,,,,,,,,,,,,,
39,1282.9,34,481,409,,,,,,,,,,,,,,,
40,1316.5,34,479,378,,,,,,,,,,,,,,,
41,1347.1,33,484,350,,,,,,,,,,,,,,,
42,1382.8,31,483,325,,,,,,,,,,,,,,,
43,1414.9,30,485,309,,,,,,,,,,,,,,,
44,1447.1,29,486,303,,,,,,,,,,,,,,,
45,1482.9,29,488,308,,,,,,,,,,,,,,,
46,1515.4,30,488,322,,,,,,,,,,,,,,,
47,1547.3,31,487,343,,,,,,,,,,,,,,,
48,1583.1,32,489,369,,,,,,,,,,,,,,,
49,1615.2,32,491,400,,,,,,,,,,,,,,,
50,1647.2,31,490,428,,,,,,,,,,,,,,,
51,1683.2,30,492,453,,,,,,,,,,,,,,,
52,1715.4,30,495,471,,,,,,,,,,,,,,,
53,1746.7,29,494,478,,,,,,,,,,,,,,,
54,1782.6,29,495,474,,,,,,,,,,,,,,,
55,1814.7,31,494,462,,,,,,,,,,,,,,,
56,1847.0,33,492,439,,,,,,,,,,,,,,,
57,1882.8,34,492,410,,,,,,,,,,,,,,,
58,1914.8,34,493,379,,,,,,,,,,,,,,,
59,1946.9,33,490,349,,,,,,,,,,,,,,,
60,1983.2,32,489,325,,,,,,,,,,,,,,,
61,2015.0,30,490,308,,,,,,,,,,,,,,,
62,2050.7,29,490,301,,,,,,,,,,,,,,,
63,2082.7,29,488,304,,,,,,,,,,,,,,,
64,2114.8,31,486,319,,,,,,,,,,,,,,,
65,2150.7,32,485,340,,,,,,,,,,,,,,,
66,2183.8,33,484,368,,,,,,,,,,,,,,,
67,2215.0,32,482,398,,,,,,,,,,,,,,,
68,2250.6,32,481,427,,,,,,,,,,,,,,,
69,2282.8,30,480,452,,,,,,,,,,,,,,,
70,2315.3,30,481,469,,,,,,,,,,,,,,,
71,2351.9,29,481,477,,,,,,,,,,,,,,,
72,2384.2,29,480,474,,,,,,,,,,,,,,,
73,2415.5,31,479,462,,,,,,,,,,,,,,,
74,2450.8,32,479,439,,,,,,,,,,,,,,,
75,2483.4,33,480,410,,,,,,,,,,,,,,,
76,2514.9,33,478,380,,,,,,,,,,,,,,,
77,2550.8,33,482,351,,,,,,,,,,,,,,,
78,2582.7,32,483,327,,,,,,,,,,,,,,,
79,2614.8,30,483,310,,,,,,,,,,,,,,,
80,2651.1,29,485,303,,,,,,,,,,,,,,,
81,2685.9,29,485,306,,,,,,,,,,,,,,,
82,2714.8,30,486,320,,,,,,,,,,,,,,,
83,2753.5,31,487,341,,,,,,,,,,,,,,,
84,2782.9,32,487,368,,,,,,,,,,,,,,,
85,2814.9,32,484,398,,,,,,,,,,,,,,,
86,2850.8,32,487,426,,,,,,,,,,,,,,,
87,2883.1,30,490,451,,,,,,,,,,,,,,,
88,2915.1,29,491,469,,,,,,,,,,,,,,,
89,2951.0,28,493,477,,,,,,,,,,,,,,,
90,2983.2,29,492,475,,,,,,,,,,,,,,,
91,3015.1,30,493,463,,,,,,,,,,,,,,,
92,3051.5,32,493,441,,,,,,,,,,,,,,,
93,3082.8,33,492,413,,,,,,,,,,,,,,,
94,3114.9,33,492,383,,,,,,,,,,,,,,,
95,3150.8,33,493,352,,,,,,,,,,,,,,,
96,3182.6,31,491,327,,,,,,,,,,,,,,,
97,3215.9,30,492,309,,,,,,,,,,,,,,,
98,3250.9,29,492,301,,,,,,,,,,,,,,,
99,3283.2,29,491,304,,,,,,,,,,,,,,,
100,3314.7,30,489,317,,,,,,,,,,,,,,,
101,3350.7,31,488,338,,,,,,,,,,,,,,,
102,3383.2,33,488,366,,,,,,,,,,,,,,,
103,3414.7,33,486,396,,,,,,,,,,,,,,,
104,3451.0,33,484,424,,,,,,,,,,,,,,,
105,3482.9,31,484,449,,,,,,,,,,,,,,,
106,3515.0,30,485,468,,,,,,,,,,,,,,,
107,3550.7,29,484,476,,,,,,,,,,,,,,,
